Training Loss (with skip connections),Validation Loss (with skip connections),Training Loss (without skip connections),Validation Loss (without skip connections)
3.5355331897735596,2.939378499984741,5.229862689971924,3.693108320236206
3.0803020000457764,2.5992679595947266,3.8215065002441406,2.7471671104431152
2.6576080322265625,2.3067128658294678,2.701843500137329,2.0180866718292236
2.3495304584503174,2.067972183227539,1.9183775186538696,1.5471904277801514
2.089431047439575,1.8808246850967407,1.4690427780151367,1.3639323711395264
1.8882640600204468,1.7340402603149414,1.3624863624572754,1.410151481628418
1.7282825708389282,1.6156885623931885,1.4546154737472534,1.4952892065048218
1.5997873544692993,1.5175122022628784,1.5447584390640259,1.4819574356079102
1.4958926439285278,1.435967206954956,1.4839516878128052,1.391437292098999
1.411466121673584,1.3706068992614746,1.374634861946106,1.3125901222229004
1.3536338806152344,1.3194122314453125,1.2948551177978516,1.2804555892944336
1.3029205799102783,1.279559850692749,1.2753294706344604,1.2805060148239136
1.257777214050293,1.2467193603515625,1.2827876806259155,1.2799904346466064
1.224890112876892,1.217632532119751,1.273415207862854,1.2635256052017212
1.1998339891433716,1.1909034252166748,1.2518928050994873,1.2360116243362427
1.1750248670578003,1.16595458984375,1.2233881950378418,1.2086790800094604
1.1537402868270874,1.142507553100586,1.1992838382720947,1.1892168521881104
1.123633623123169,1.1201497316360474,1.1813875436782837,1.176292061805725
1.10015070438385,1.0985701084136963,1.170918583869934,1.16448175907135
1.0800188779830933,1.0776219367980957,1.15713369846344,1.1501389741897583
1.0593518018722534,1.057133436203003,1.1432288885116577,1.133577585220337
1.0339103937149048,1.0369688272476196,1.1277292966842651,1.1177031993865967
1.0177818536758423,1.017198085784912,1.112280011177063,1.1035113334655762
0.9960517883300781,0.9977734088897705,1.0974931716918945,1.0901048183441162
0.9781546592712402,0.9786710739135742,1.0842689275741577,1.076589822769165
0.9656248092651367,0.9598852396011353,1.0734719038009644,1.0630156993865967
0.9439789652824402,0.9412511587142944,1.0571389198303223,1.049655795097351
0.9269296526908875,0.9229227900505066,1.0450670719146729,1.036841630935669
0.9058053493499756,0.9048349261283875,1.0316904783248901,1.0243624448776245
0.8858292698860168,0.8871252536773682,1.0190954208374023,1.0116961002349854
0.8719376921653748,0.8697090148925781,1.0059666633605957,0.9989298582077026
0.8535541892051697,0.8526349067687988,0.9936019778251648,0.9861609935760498
0.8386147022247314,0.8358286023139954,0.9823228716850281,0.9736180305480957
0.8223029971122742,0.819312572479248,0.9699215888977051,0.9613149166107178
0.804846465587616,0.803106427192688,0.9577488899230957,0.949238657951355
0.7883562445640564,0.7872148752212524,0.9452325701713562,0.937369167804718
0.7756205201148987,0.7716385126113892,0.9337282180786133,0.925767183303833
0.7621634602546692,0.7563374042510986,0.9217221140861511,0.9143555164337158
0.743129551410675,0.7412698268890381,0.9110970497131348,0.9029417037963867
0.7288749814033508,0.7265171408653259,0.8990154266357422,0.8914939165115356
0.7126153111457825,0.7120216488838196,0.8874330520629883,0.8801829814910889
0.6997929215431213,0.6978974342346191,0.876913845539093,0.8689296245574951
0.6860114932060242,0.6840000152587891,0.8655571341514587,0.8577210903167725
0.6728537082672119,0.6703808307647705,0.8533487915992737,0.846817672252655
0.6592952609062195,0.6570216417312622,0.8438441157341003,0.8360351324081421
0.6445285081863403,0.6439766883850098,0.8323884010314941,0.8255130052566528
0.6317709684371948,0.6311760544776917,0.8219664692878723,0.815137505531311
0.6187204122543335,0.6186500191688538,0.8110162615776062,0.8049801588058472
0.6103748679161072,0.6063438653945923,0.8018686175346375,0.7949556112289429
0.5961357951164246,0.594215989112854,0.7908661961555481,0.7848530411720276
0.5852178335189819,0.5823058485984802,0.7812301516532898,0.7747260332107544
0.571350634098053,0.5706404447555542,0.7702360153198242,0.7645195722579956
0.5632843375205994,0.5592396855354309,0.760583221912384,0.7545539140701294
0.5467671751976013,0.5479973554611206,0.750662624835968,0.7448934316635132
0.5388374328613281,0.5370619297027588,0.7414135932922363,0.735500693321228
0.5300912857055664,0.526371955871582,0.7322309613227844,0.7263203859329224
0.5166930556297302,0.5158638954162598,0.7226254940032959,0.7173973321914673
0.5080487728118896,0.5055624842643738,0.7143847346305847,0.7084846496582031
0.497052401304245,0.49546167254447937,0.7044222950935364,0.6996946930885315
0.48832273483276367,0.48555028438568115,0.6961004734039307,0.6906942129135132
0.4806694984436035,0.475857675075531,0.687260627746582,0.6814234852790833
0.46815288066864014,0.4663105607032776,0.6781145930290222,0.6723831295967102
0.45817652344703674,0.4569874405860901,0.6703331470489502,0.6636878252029419
0.4507763087749481,0.4478662610054016,0.6610132455825806,0.6551913619041443
0.4408029615879059,0.43895477056503296,0.6522161364555359,0.6469799280166626
0.43222275376319885,0.43022608757019043,0.6440872550010681,0.6389389038085938
0.42482247948646545,0.42171069979667664,0.6362332701683044,0.6309894323348999
0.41458484530448914,0.4133684039115906,0.6269431710243225,0.6229217052459717
0.4066561162471771,0.40517938137054443,0.6190738677978516,0.6150193214416504
0.3981226980686188,0.39715278148651123,0.6115232110023499,0.6070997714996338
0.3887961804866791,0.38928675651550293,0.6044528484344482,0.5993131399154663
0.3829403817653656,0.3815889358520508,0.5969390273094177,0.5915974378585815
0.37554025650024414,0.37408941984176636,0.5891871452331543,0.5842076539993286
0.3697333335876465,0.3667086660861969,0.5808505415916443,0.5769601464271545
0.36188578605651855,0.35946667194366455,0.5736117959022522,0.5695844888687134
0.35395893454551697,0.3523620367050171,0.5671593546867371,0.5624268651008606
0.34829339385032654,0.34542301297187805,0.559533953666687,0.5556316375732422
0.3420417308807373,0.3386295437812805,0.5524848103523254,0.548867404460907
0.33391818404197693,0.3319663405418396,0.546069860458374,0.5418729782104492
0.3264513909816742,0.3254365921020508,0.538237988948822,0.5349282026290894
0.3212970197200775,0.31905531883239746,0.5315364003181458,0.527941882610321
0.3134431540966034,0.3128083348274231,0.5253112316131592,0.5212031602859497
0.30782610177993774,0.30669957399368286,0.5184064507484436,0.5146848559379578
0.30253520607948303,0.30072325468063354,0.5125367045402527,0.5084904432296753
0.2955428659915924,0.29487061500549316,0.5055873990058899,0.502424418926239
0.2907705008983612,0.2891519069671631,0.4993518888950348,0.49627721309661865
0.2874756157398224,0.2835597097873688,0.49323442578315735,0.48976606130599976
0.28044047951698303,0.2780848741531372,0.48669683933258057,0.48317837715148926
0.273026704788208,0.2727258503437042,0.4814276695251465,0.47723013162612915
0.2678638696670532,0.2674688994884491,0.47462666034698486,0.4715895652770996
0.2651420533657074,0.26229196786880493,0.46966826915740967,0.4661826193332672
0.2609492540359497,0.2572454512119293,0.46340933442115784,0.46074730157852173
0.2548729479312897,0.25231683254241943,0.4568823277950287,0.45505285263061523
0.24910299479961395,0.24748888611793518,0.4525558650493622,0.4491080045700073
0.24389801919460297,0.24274134635925293,0.4467341899871826,0.4433060586452484
0.23859697580337524,0.23808741569519043,0.4412306249141693,0.4378969967365265
0.23441660404205322,0.23353169858455658,0.4356466829776764,0.4324173033237457
0.23063163459300995,0.22908055782318115,0.43040165305137634,0.4271929860115051
0.2261490672826767,0.22474634647369385,0.4254699945449829,0.4220387935638428
0.22065909206867218,0.22051610052585602,0.4194447100162506,0.41675782203674316
